Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Guzzlord,90.2,799,dark,dragon,113.3,65.5,266,1972626,19.5,1494,Dragon Tail,Dragon Claw,Crunch,4,5,20,100000
Skarmory (Shadow),90.1,227,steel,flying,106.2,163.1,122,2113576,27,1499,Steel Wing,Brave Bird,Sky Attack,8,8,5,75000
Vigoroth,90.1,288,normal,none,117.7,112.7,144,1909363,28.5,1499,Counter,Body Slam,Rock Slide,5,7,5,75000
Goodra,90,706,dragon,none,119.7,136.8,114,1866601,16,1497,Dragon Breath,Aqua Tail,Power Whip,12,17,5,75000
Poliwrath (Shadow),89.8,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Scald,Icy Wind,8,7,3,50000
Toxapex,89.7,748,poison,water,92.3,222,118,2416922,38.5,1493,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Hakamo-o,89.6,783,dragon,fighting,115.5,134.8,124,1931380,36.5,1493,Dragon Tail,Dragon Claw,Brick Break,4,5,5,75000
Pidgeot,89.6,18,normal,flying,117.2,113.8,143,1905836,26,1494,Wing Attack,Feather Dance,Brave Bird,7,7,1,10000
Whiscash (Shadow),89.6,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Dragonair (Shadow),89.4,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Body Slam,Aqua Tail,12,12,5,75000
Jellicent,89.3,593,water,ghost,106.7,124.3,157,2082451,24,1490,Hex,Surf,Shadow Ball,4,5,3,50000
Steelix,89.3,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Dragon Tail,Psychic Fangs,Crunch,4,5,5,75000
Abomasnow (Shadow),89.2,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Golbat (Shadow),89.2,42,poison,flying,118.7,113.7,140,1888899,29,1498,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Serperior,89.2,497,grass,none,110.2,143.6,128,2025814,25,1499,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Sandslash (Alolan),89.1,28,ice,steel,116.6,132.6,124,1917384,23,1500,Powder Snow,Ice Punch,Drill Run,5,6,3,50000
Machamp (Shadow),89,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Counter,Cross Chop,Rock Slide,5,7,3,50000
Pidgeot (Shadow),89,18,normal,flying,117.2,113.8,143,1905836,26,1494,Wing Attack,Brave Bird,Aerial Ace,7,5,1,10000
Charjabug,88.9,737,bug,electric,116.1,132.4,126,1936447,38,1500,Volt Switch,X-Scissor,Discharge,3,3,1,10000
Gallade,88.9,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Cetoddle,88.8,974,ice,none,112.6,79.8,213,1914594,50,1469,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Sandslash (Alolan) (Shadow),88.8,28,ice,steel,116.6,132.6,124,1917384,23,1500,Powder Snow,Ice Punch,Drill Run,5,6,3,50000
Dragonair,88.7,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Aqua Tail,Body Slam,12,12,5,75000
Registeel (Shadow),88.6,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Regirock,88.5,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Talonflame,88.5,663,fire,flying,122.1,114.7,131,1834291,25.5,1499,Incinerate,Fly,Brave Bird,3,3,1,10000
Kommo-o,88.4,784,dragon,fighting,123.7,138.4,105,1797551,16.5,1497,Dragon Tail,Close Combat,Dragon Claw,5,4,5,75000
Poliwrath,88.4,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Scald,Icy Wind,8,7,3,50000
Aurorus,88.3,699,rock,ice,114.1,105.7,163,1966639,20,1498,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Trevenant,88.3,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Seed Bomb,Shadow Ball,6,7,5,75000
Steelix (Shadow),88,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Dragon Tail,Psychic Fangs,Crunch,4,5,5,75000
Wigglytuff,88,40,normal,fairy,115.8,75.5,220,1924765,29,1495,Charm,Icy Wind,Disarming Voice,8,8,1,10000
Gogoat,87.8,673,grass,none,119.2,95,165,1867240,19.5,1492,Vine Whip,Leaf Blade,Brick Break,5,5,3,50000
Ninetales (Alolan) (Shadow),87.7,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,9,3,50000
Cresselia (Shadow),87.6,488,psychic,none,93.2,158.3,163,2404853,20,1497,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Machamp,87.6,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Counter,Cross Chop,Rock Slide,5,7,3,50000
Venusaur (Shadow),87.6,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Whiscash,87.6,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Cetitan,87.5,975,ice,none,120.7,75.9,203,1861103,18,1500,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Lanturn,87.5,171,water,electric,104.8,104.8,194,2131348,27,1496,Spark,Surf,Thunderbolt,6,8,3,50000
Sableye,87.5,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Return,6,9,5,75000
Deoxys (Defense),87.4,386,psychic,none,101,221.5,98,2192628,23.5,1491,Counter,Psycho Boost,Thunderbolt,5,8,20,100000
Hitmontop,87.4,237,fighting,none,121.7,151.3,100,1841514,26.5,1500,Counter,Close Combat,Triple Axel,7,7,5,75000
Lurantis,87.4,754,grass,none,126.9,114.6,121,1760366,23.5,1495,Fury Cutter,Leaf Blade,Superpower,9,10,3,50000
Togedemaru,87.4,777,electric,steel,132.1,105.6,121,1688198,26,1495,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Dubwool,87.3,832,normal,none,111,141.7,128,2013564,26,1499,Double Kick,Body Slam,Payback,3,5,3,10000
Hitmontop (Shadow),87.3,237,fighting,none,121.7,151.3,100,1841514,26.5,1500,Counter,Close Combat,Triple Axel,7,7,5,75000
Tapu Fini,87.3,788,water,fairy,115.3,155.3,108,1934126,20,1498,Water Gun,Surf,Nature's Madness,14,17,20,100000
Whimsicott,87.3,547,grass,fairy,118.4,133.1,119,1875239,27.5,1490,Fairy Wind,Seed Bomb,Moonblast,5,7,1,10000
Altaria,87.1,334,dragon,flying,103.4,153.3,136,2156405,28.5,1498,Dragon Breath,Sky Attack,Moonblast,17,20,1,10000
Arctibax,87.1,997,dragon,ice,123.1,97.7,151,1815086,26.5,1499,Dragon Breath,Avalanche,Dragon Claw,15,12,5,75000
Dragonite (Shadow),87.1,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Golbat,87.1,42,poison,flying,118.7,113.7,140,1888899,29,1498,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Greninja,87.1,658,water,dark,139.6,101.6,113,1602682,21,1497,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Tropius,87.1,357,grass,flying,101.4,127.3,170,2195741,29,1494,Air Slash,Leaf Blade,Aerial Ace,4,5,5,75000
Pachirisu,87,417,electric,none,91.6,157.1,142,2043738,50,1372,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Walrein,87,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Dewgong,86.8,87,water,ice,102.9,133.8,158,2174933,29,1500,Ice Shard,Icy Wind,Drill Run,5,5,3,50000
Gliscor,86.8,472,ground,flying,115.7,143.9,116,1930695,21,1496,Wing Attack,Earthquake,Aerial Ace,9,5,5,75000
Meganium,86.8,154,grass,none,111.5,138.4,130,2005358,23,1499,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Skeledirge,86.8,911,fire,ghost,121.2,109.2,139,1839651,18.5,1496,Incinerate,Shadow Ball,Disarming Voice,3,3,3,10000
Stunfisk,86.8,618,ground,electric,101.8,127.9,169,2200089,26.5,1497,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Wobbuffet,86.8,202,psychic,none,63,101.7,333,2133829,50,1160,Counter,Return,Mirror Coat,10,8,3,50000
Meganium (Shadow),86.7,154,grass,none,111.5,138.4,130,2005358,23,1499,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Venusaur,86.7,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Zweilous,86.7,634,dark,dragon,121,109.2,140,1849588,31,1496,Dragon Breath,Body Slam,Dark Pulse,12,17,5,75000
Ninetales (Alolan),86.6,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,9,3,50000
Scrafty,86.6,560,dark,fighting,110.4,155.4,117,2007526,24.5,1489,Counter,Foul Play,Thunder Punch,7,6,3,50000
Giratina (Origin),86.5,487,ghost,dragon,119.5,103.5,152,1879872,15,1499,Shadow Claw,Ominous Wind,Shadow Ball,6,7,20,100000
Hippowdon (Shadow),86.5,450,ground,none,116.2,116.8,141,1912627,18,1494,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Magnezone,86.5,462,electric,steel,134.9,120.1,102,1652719,17,1496,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Cradily,86.3,346,rock,grass,106.3,139,143,2111521,26,1498,Bullet Seed,Rock Slide,Grass Knot,4,4,3,50000
Diggersby,86.3,660,normal,ground,96.3,141.2,171,2324733,48,1496,Mud Shot,Scorching Sands,Hyper Beam,6,9,1,10000
Gliscor (Shadow),86.3,472,ground,flying,115.7,143.9,116,1930695,21,1496,Wing Attack,Earthquake,Aerial Ace,9,5,5,75000
Regirock (Shadow),86.3,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Walrein (Shadow),86.3,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Froslass,86.2,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Dragonite,86.1,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Greedent,86,820,normal,none,107.5,110.7,175,2083197,23.5,1498,Mud Shot,Body Slam,Trailblaze,4,6,1,10000
Sneasler (Shadow),86,903,fighting,poison,146,95.3,110,1529893,17,1495,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Chesnaught,85.9,652,grass,fighting,119.9,124.6,125,1868328,19,1498,Vine Whip,Frenzy Plant,Superpower,6,5,3,10000
Dragalge,85.9,691,poison,dragon,117.9,139.9,115,1895881,23.5,1496,Dragon Tail,Aqua Tail,Outrage,4,7,3,50000
Ferrothorn,85.9,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Sealeo (Shadow),85.9,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Water Pulse,Body Slam,7,5,3,50000
Sirfetch'd,85.9,865,fighting,none,145.9,107.4,98,1536689,18.5,1499,Counter,Leaf Blade,Night Slash,5,5,3,50000
Umbreon,85.9,197,dark,none,90.2,177,155,2475791,27,1497,Snarl,Foul Play,Last Resort,4,5,5,75000
Abomasnow,85.7,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Icy Wind,Energy Ball,6,7,3,50000
Marowak (Alolan) (Shadow),85.7,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Sableye (Shadow),85.7,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Power Gem,6,8,5,75000
Cofagrigus,85.6,563,ghost,none,112.2,168.3,106,2002086,25,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Jumpluff,85.6,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Acrobatics,Energy Ball,7,7,3,50000
Toxicroak (Shadow),85.6,454,poison,fighting,136.6,91.5,131,1636876,22,1498,Counter,Mud Bomb,Shadow Ball,6,8,3,50000
Froslass (Shadow),85.3,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Jumpluff (Shadow),85.1,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Energy Ball,Acrobatics,7,7,3,50000
Politoed (Shadow),85.1,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Emolga,84.9,587,electric,flying,127.9,111.4,123,1752744,39,1498,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Mew,84.9,151,psychic,none,120.5,119.4,129,1855163,16.5,1498,Shadow Claw,Wild Charge,Surf,6,5,20,100000
Rufflet,84.9,627,normal,flying,126.3,91.1,153,1759870,46,1492,Wing Attack,Brave Bird,Fly,7,6,5,75000
Salazzle,84.9,758,poison,fire,146.6,90.9,114,1518532,22,1492,Incinerate,Poison Fang,Dragon Pulse,2,3,3,50000
Obstagoon,84.7,862,dark,normal,112.6,126.7,138,1969669,21,1494,Counter,Night Slash,Cross Chop,5,5,3,10000
Drapion (Shadow),84.6,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Zapdos,84.6,145,electric,flying,136.2,104.7,115,1639560,15.5,1495,Thunder Shock,Drill Peck,Thunder,5,7,20,100000
Hippopotas (Shadow),84.5,449,ground,none,115.3,111.1,152,1946522,49,1498,Sand Attack,Body Slam,Dig,9,13,3,50000
Marowak (Alolan),84.5,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Qwilfish (Hisuian),84.5,211,dark,poison,129.5,111.3,120,1729959,25.5,1497,Poison Jab,Aqua Tail,Shadow Ball,5,8,3,50000
Cradily (Shadow),84.4,346,rock,grass,106.3,139,143,2111521,26,1498,Bullet Seed,Rock Slide,Grass Knot,4,4,3,50000
Bellibolt,84.3,939,electric,none,115.1,107.7,156,1934288,21,1492,Thunder Shock,Discharge,Zap Cannon,5,9,1,50000
Excadrill (Shadow),84.3,530,ground,steel,142.7,78.8,139,1561805,17,1494,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Flygon (Shadow),84.1,330,ground,dragon,129.2,109.6,123,1740871,21,1499,Dragon Tail,Dragon Claw,Scorching Sands,4,6,5,75000
Noctowl,84.1,164,normal,flying,105.3,120.2,167,2113724,28,1494,Wing Attack,Sky Attack,Shadow Ball,7,7,1,10000
Runerigus,84.1,867,ground,ghost,112.2,168.3,106,2002086,25,1500,Shadow Claw,Sand Tomb,Shadow Ball,5,7,3,50000
Weezing (Galarian),84.1,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Play Rough,Brutal Swing,7,5,3,50000
Zapdos (Shadow),84.1,145,electric,flying,136.2,104.7,115,1639560,15.5,1495,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Victreebel (Shadow),84,71,grass,poison,135.8,94.8,128,1648364,23,1500,Razor Leaf,Leaf Blade,Acid Spray,9,12,3,50000
Charizard (Shadow),83.9,6,fire,flying,132.2,108.3,117,1674892,19,1488,Wing Attack,Blast Burn,Dragon Claw,7,5,3,10000
Munchlax,83.9,446,normal,none,104,95.2,218,2158275,31,1499,Tackle,Body Slam,Bulldoze,12,20,5,10000
Ferrothorn (Shadow),83.8,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Magnezone (Shadow),83.8,462,electric,steel,134.9,120.1,102,1652719,17,1496,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Sealeo,83.8,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Water Pulse,Body Slam,7,5,3,50000
Castform (Rainy),83.7,351,water,none,113.4,119.6,146,1979669,38.5,1499,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Marshtomp,83.7,259,water,ground,120.3,108.9,142,1860776,35,1498,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Nidoqueen (Shadow),83.7,31,poison,ground,117.8,116.5,139,1908186,22,1499,Poison Jab,Earth Power,Poison Fang,8,6,3,50000
Charizard,83.6,6,fire,flying,132.2,108.3,117,1674892,19,1488,Wing Attack,Blast Burn,Dragon Claw,7,5,3,10000
Overqwil,83.6,904,dark,poison,131.6,106.6,121,1696708,19,1498,Poison Jab,Aqua Tail,Shadow Ball,5,8,5,75000
Toxicroak,83.6,454,poison,fighting,136.6,91.5,131,1636876,22,1498,Counter,Mud Bomb,Shadow Ball,6,8,3,50000
Victreebel,83.5,71,grass,poison,135.8,94.8,128,1648364,23,1500,Magical Leaf,Leaf Blade,Sludge Bomb,4,5,3,50000
Blaziken (Shadow),83.4,257,fire,fighting,144.4,90.8,118,1547820,19,1496,Counter,Blaze Kick,Blast Burn,6,8,3,10000
Conkeldurr (Shadow),83.4,534,fighting,none,134.6,93.3,132,1657948,16.5,1495,Counter,Dynamic Punch,Brutal Swing,8,6,5,75000
Castform (Snowy),83.3,351,ice,none,113.4,119.6,146,1979669,38.5,1499,Powder Snow,Weather Ball (Ice),Blizzard,5,10,5,75000
Decidueye,83.3,724,grass,ghost,127.8,115.3,118,1739336,20,1492,Leafage,Frenzy Plant,Brave Bird,7,8,3,10000
Gastrodon,83.3,423,water,ground,114.4,102.5,167,1957876,24.5,1497,Mud Slap,Body Slam,Earth Power,4,7,3,50000
Swalot,83.3,317,poison,none,104.1,123.4,168,2158208,28.5,1500,Mud Shot,Sludge Bomb,Ice Beam,6,7,1,10000
Flygon,83.2,330,ground,dragon,129.2,109.6,123,1740871,21,1499,Dragon Tail,Scorching Sands,Dragon Claw,6,4,5,75000
Haunter,83.2,93,ghost,poison,161.2,85.5,100,1378532,28,1493,Shadow Claw,Ice Punch,Shadow Ball,5,7,3,50000
Samurott,83.2,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Marshtomp (Shadow),83.1,259,water,ground,120.3,108.9,142,1860776,35,1498,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Hippowdon,83,450,ground,none,116.2,116.8,141,1912627,18,1494,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Nidoqueen,83,31,poison,ground,117.8,116.5,139,1908186,22,1499,Poison Jab,Earth Power,Poison Fang,8,6,3,50000
Swellow,83,277,normal,flying,136.7,98.6,121,1630044,29,1496,Wing Attack,Brave Bird,Aerial Ace,7,5,1,10000
Clefable,82.9,36,fairy,none,117.2,111.5,146,1908090,23,1499,Fairy Wind,Moonblast,Meteor Mash,7,6,1,10000
Dunsparce,82.9,206,normal,none,104.8,111,183,2127733,37.5,1496,Rollout,Drill Run,Rock Slide,4,4,3,50000
Florges,82.9,671,fairy,none,120.1,142.1,109,1859855,17,1494,Fairy Wind,Disarming Voice,Petal Blizzard,5,8,3,50000
Golisopod,82.7,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Shadow Claw,X-Scissor,Liquidation,5,6,1,10000
Miltank,82.7,241,normal,none,105.4,135.5,148,2112476,24,1494,Rollout,Body Slam,Thunderbolt,3,5,5,75000
Politoed,82.7,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Snorlax (Shadow),82.7,143,normal,none,108.4,101.7,187,2061936,17.5,1498,Lick,Body Slam,Superpower,12,14,5,75000
Gyarados,82.6,130,water,flying,130.8,108,121,1708726,16.5,1498,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Gyarados (Shadow),82.6,130,water,flying,130.8,108,121,1708726,16.5,1498,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Ninetales,82.6,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Shiftry (Shadow),82.6,275,grass,dark,134.2,87.7,142,1670632,24,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Togetic,82.6,176,fairy,flying,110.6,150,122,2023327,37,1496,Fairy Wind,Aerial Ace,Dazzling Gleam,5,8,3,50000
Drapion,82.5,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Machoke (Shadow),82.5,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,5,7,3,50000
Blaziken,82.4,257,fire,fighting,144.4,90.8,118,1547820,19,1496,Counter,Blaze Kick,Blast Burn,6,8,3,10000
Quilladin,82.4,651,grass,none,115.4,130,129,1935329,35.5,1495,Vine Whip,Body Slam,Energy Ball,5,7,3,10000
Hippopotas,82.3,449,ground,none,115.3,111.1,152,1946522,49,1498,Sand Attack,Body Slam,Dig,9,13,3,50000
Dedenne,82.2,702,electric,fairy,124.2,108.7,133,1795844,30.5,1497,Thunder Shock,Discharge,Play Rough,5,7,3,50000
Hitmonchan (Shadow),82.2,107,fighting,none,128.2,137.3,98,1725104,23.5,1490,Counter,Ice Punch,Thunder Punch,6,6,5,75000
Sneasler,82.2,903,fighting,poison,146,95.3,110,1529893,17,1495,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Snorlax,82.2,143,normal,none,108.4,101.7,187,2061936,17.5,1498,Lick,Body Slam,Superpower,12,14,5,75000
Typhlosion (Shadow),82.2,157,fire,none,132.2,108.3,117,1674892,19,1488,Incinerate,Blast Burn,Thunder Punch,3,2,3,10000
Conkeldurr,82.1,534,fighting,none,134.6,93.3,132,1657948,16.5,1495,Counter,Dynamic Punch,Brutal Swing,8,6,5,75000
Druddigon,82.1,621,dragon,none,131.4,110.5,117,1699459,20,1498,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Excadrill,82.1,530,ground,steel,142.7,78.8,139,1561805,17,1494,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Electrode (Hisuian),82,101,electric,grass,123.3,130.1,113,1812571,26,1495,Thunder Shock,Wild Charge,Energy Ball,5,7,3,50000
Haunter (Shadow),82,93,ghost,poison,161.2,85.5,100,1378532,28,1493,Shadow Claw,Ice Punch,Shadow Ball,5,7,3,50000
Machoke,82,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,5,7,3,50000
Relicanth,82,369,water,rock,105.2,137.5,147,2126096,22.5,1498,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Wailmer,82,320,water,none,117.4,68.3,239,1916533,48.5,1500,Water Gun,Body Slam,Scald,12,17,1,10000
Blastoise,81.9,9,water,none,111.5,140.7,127,1992357,22.5,1492,Water Gun,Hydro Cannon,Ice Beam,14,19,3,10000
Grimer (Shadow),81.9,88,poison,none,121.5,88,171,1827419,49.5,1493,Poison Jab,Mud Bomb,Sludge Bomb,6,8,3,50000
Passimian,81.9,766,fighting,none,129.9,100.5,132,1723475,18.5,1496,Counter,Close Combat,Brick Break,7,6,3,75000
Primeape,81.9,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Counter,Ice Punch,Night Slash,6,5,3,50000
